,Hauptkategorie,Subkategorie_1,Subkategorie_2,Ist 2018,Soll 2019,Soll 2020,Ist 2021,Ist 2022,Ist 2023,Ist 2024,Soll 2025,Plan 2026,Plan 2027,Plan 2028,Produktgruppe,Subprodukt,Ist 2024 %,Percentagechange Ist 2018 vs. Ist 2024,Ist 2018 %
172,1 Förderung der individuellen Fähigkeiten,"Jugendliche mit besonders hohem Förderbedarf bzw. mit Behinderungen können eine ihren Fähigkeiten entsprechende Ausbildung absolvieren. (W) (1)(2) Anzahl Jugendliche, die im Anschluss eine Berufsausbildung oder einer weiterführende Schule besuchen",Kleingruppenschule (KGS),6.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,Sonderschulung (530),Sonderschulung (530),16.666666666666664,16.7,0
173,1 Förderung der individuellen Fähigkeiten,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. (L)","Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen.",8.0,5.0,7.0,6.0,11.0,5.0,12.0,10.0,13.0,12.0,15.0,Sonderschulung (530),Sonderschulung (530),50.0,50.0,0
174,2 Förderung der Selbstständigkeit und Integration,"Zu diesem Zweck schöpfen die Sonderschulen und Eltern die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können. (L)","Anteil (in %) der Kinder und Jugendlichen, die ihren Schulweg selbstständig bewältigen können",37.0,48.0,45.0,30.0,22.0,22.0,23.0,24.0,23.0,23.0,23.0,Sonderschulung (530),Sonderschulung (530),-37.83783783783784,-37.8,0
175,2 Förderung der Selbstständigkeit und Integration,"Zu diesem Zweck schöpfen die Sonderschulen und Eltern die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können. (L)","Anteil (in %) Kinder und Jugendliche, die sich selbstständig im Schulhaus bewegen, bzw. orientieren können",71.0,72.0,71.0,71.0,72.0,68.0,63.0,59.0,56.0,56.0,56.0,Sonderschulung (530),Sonderschulung (530),-11.267605633802818,-11.3,0
176,Globalkredit,Nettokosten / Globalkredit,Nettokosten / Globalkredit,29795526.0,33720108.0,32932596.0,36537770.0,42747697.0,44781222.0,50321537.0,48113747.0,52691805.0,54101918.0,55377506.0,Sonderschulung (530),Sonderschulung (530),68.88957422668088,68.9,0
177,Globalkredit,Nettokosten / Globalkredit,Personalkosten,30698920.0,34139061.0,34144873.0,36190723.0,37664392.0,40591737.0,38788382.0,42400715.0,48260705.0,48121205.0,48121705.0,Sonderschulung (530),Sonderschulung (530),26.350966092618243,26.4,0
178,Globalkredit,Nettokosten / Globalkredit,Sachkosten,17712874.0,17773044.0,17874115.0,20098185.0,7208282.0,7683861.0,12715762.0,7811600.0,8259605.0,8216105.0,8221605.0,Sonderschulung (530),Sonderschulung (530),-28.211751520391324,-28.2,0
179,Globalkredit,Nettokosten / Globalkredit,Informatikkosten,,337927.0,334106.0,379227.0,345931.0,426265.0,367665.0,334998.0,632833.0,369833.0,367333.0,Sonderschulung (530),Sonderschulung (530),0.0,0.0,0
180,Globalkredit,Nettokosten / Globalkredit,Beiträge an Dritte,8932006.0,9918500.0,9724291.0,10691073.0,20410658.0,20876300.0,23404445.0,22697912.0,23091750.0,24486750.0,25761750.0,Sonderschulung (530),Sonderschulung (530),162.02898878482617,162.0,0
181,Globalkredit,Nettokosten / Globalkredit,Residualkosten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sonderschulung (530),Sonderschulung (530),0.0,0.0,0
182,Globalkredit,Nettokosten / Globalkredit,Kalk. Abschreibungen und Zinsen / Finanzaufwand,1301534.0,1273838.0,1377593.0,1385526.0,1103756.0,1055168.0,497633.0,500641.0,523043.0,523043.0,523043.0,Sonderschulung (530),Sonderschulung (530),-61.76565498865185,-61.8,0
183,Globalkredit,Nettokosten / Globalkredit,Mietkosten,119208.0,133600.0,79100.0,67705.0,148947.0,171325.0,2721311.0,2977845.0,3071009.0,3071009.0,3071009.0,Sonderschulung (530),Sonderschulung (530),2182.8258170592576,2182.8,0
184,Globalkredit,Nettokosten / Globalkredit,Übrige Kosten,963058.0,528040.0,605229.0,676315.0,1230410.0,852353.0,1869312.0,1335660.0,1288810.0,1756483.0,1755835.0,Sonderschulung (530),Sonderschulung (530),94.101705193249,94.1,0
185,Globalkredit,Nettokosten / Globalkredit,Kosten inkl. Verrechnung,59727599.0,64104011.0,64139308.0,69488755.0,68112377.0,71657010.0,80364510.0,78061322.0,85128054.0,86544728.0,87822580.0,Sonderschulung (530),Sonderschulung (530),34.5517170378806,34.6,0
186,Globalkredit,Nettokosten / Globalkredit,Verrechnungen innerhalb PG,12228327.0,12501000.0,12475800.0,13766940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sonderschulung (530),Sonderschulung (530),-100.0,-100.0,0
187,Globalkredit,Total effektive Kosten,Total effektive Kosten,47499273.0,51603011.0,51663508.0,55721815.0,68112377.0,71657010.0,27179228.0,27961343.0,29444561.0,29444561.0,29444561.0,Sonderschulung (530),Sonderschulung (530),-42.77969685978141,-42.8,0
188,Globalkredit,Total effektive Kosten,Verkäufe,0.0,0.0,0.0,4200.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,Sonderschulung (530),Sonderschulung (530),0.0,0.0,0
189,Globalkredit,Total effektive Kosten,Gebühren,5311200.0,5587227.0,5509636.0,6067291.0,3231818.0,867429.0,1395225.0,329972.0,1117754.0,1117754.0,1117754.0,Sonderschulung (530),Sonderschulung (530),-73.73051287844555,-73.7,0
190,Globalkredit,Total effektive Kosten,Übrige externe Erlöse,18536.0,20676.0,16196.0,203645.0,172851.0,24412.0,0.0,0.0,0.0,0.0,0.0,Sonderschulung (530),Sonderschulung (530),-100.0,-100.0,0
191,Globalkredit,Total effektive Kosten,Beiträge von Dritten,12373575.0,12275000.0,12455000.0,11744703.0,20819196.0,24687694.0,27179228.0,27961343.0,29444561.0,29444561.0,29444561.0,Sonderschulung (530),Sonderschulung (530),119.65541890682361,119.7,0
192,Globalkredit,Total effektive Kosten,Interne Erlöse,12228762.0,12501000.0,13225880.0,14931147.0,1140815.0,1296252.0,1468250.0,1656260.0,1873935.0,1880495.0,1882758.0,Sonderschulung (530),Sonderschulung (530),-87.9934698213932,-88.0,0
193,Globalkredit,Total effektive Kosten,Erlöse inkl. Verrechnung,29932073.0,30383903.0,31206712.0,32950985.0,25364680.0,26875788.0,30042973.0,29947575.0,32436250.0,32442810.0,32445073.0,Sonderschulung (530),Sonderschulung (530),0.370505577745985,0.4,0
194,Globalkredit,Total effektive Kosten,Verrechnungen innerhalb PG,12228327.0,12501000.0,12475800.0,13766940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sonderschulung (530),Sonderschulung (530),-100.0,-100.0,0
195,Globalkredit,Total effektive Erlöse,Total effektive Erlöse,17703746.0,17882903.0,18730912.0,19184045.0,25364680.0,26875788.0,30042973.0,29947575.0,32436250.0,32442810.0,32445073.0,Sonderschulung (530),Sonderschulung (530),69.698396034376,69.7,0
196,Globalkredit,Total Nettokosten / Globalkredit (finanziert durch Steuern),Total Nettokosten / Globalkredit (finanziert durch Steuern),29795526.0,33720108.0,32932596.0,36537770.0,42747697.0,44781222.0,50321537.0,48113747.0,52691805.0,54101918.0,55377506.0,Sonderschulung (530),Sonderschulung (530),68.88957422668088,68.9,0
197,Globalkredit,Kostendeckungsgrad in %,Kostendeckungsgrad in %,37.0,35.0,36.0,34.0,37.0,38.0,37.0,38.0,38.0,37.0,37.0,Sonderschulung (530),Sonderschulung (530),0.0,0.0,0
198,Stellenplan,Personal,Stelleneinheiten,64.3,64.39,67.08,75.6,134.2,158.29,182.4,134.29,136.7,,,Sonderschulung (530),Sonderschulung (530),183.67029548989115,183.7,0
199,Stellenplan,Personal,Auszubildende,18.7,24.5,24.5,25.6,22.0,21.55,18.0,26.8,29.8,,,Sonderschulung (530),Sonderschulung (530),-3.7433155080213867,-3.7,0
200,Stellenplan,Personal,davon KV-Rotationsausbildungsplätze,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Sonderschulung (530),Sonderschulung (530),0.0,0.0,0
201,Nettokosten,Kosten,Kosten,,13428914.0,13149107.0,12552780.0,8921895.0,9584393.0,10823401.0,10751438.0,11617210.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
202,Nettokosten,Erlös,Erlös,,13371600.0,13147620.0,13433508.0,8401068.0,9557559.0,10823401.0,10751438.0,11617210.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
203,Nettokosten,Nettokosten,Nettokosten,,57314.0,1487.0,-880728.0,520828.0,26834.0,0.0,0.0,0.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
204,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,,100.0,100.0,107.0,94.0,100.0,100.0,100.0,100.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
205,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ",,4.0,5.0,2.0,3.0,1.0,3.0,4.0,7.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
206,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die gezielte pädagogische Förderung Logopädie erhalten",,52.0,58.0,68.0,60.0,63.0,61.0,64.0,60.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
207,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die gezielte pädagogische Förderung Psychomotorik erhalten",,16.0,16.0,29.0,38.0,47.0,34.0,40.0,40.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
208,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die gezielte pädagogische Förderung Rhythmik erhalten",,100.0,100.0,54.0,75.0,100.0,73.0,40.0,38.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
209,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die medizinische Förderung Ergotherapie erhalten",,30.0,33.0,44.0,37.0,40.0,48.0,50.0,56.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
210,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die medizinische Förderung Physioherapie erhalten",,6.0,6.0,20.0,20.0,21.0,23.0,28.0,28.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
211,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die spezifischen Gruppen- oder Einzelunterricht Handarbeit erhalten",,79.0,79.0,75.0,79.0,87.0,88.0,90.0,88.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
212,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die spezifischen Gruppen- oder Einzelunterricht Werken erhalten",,17.0,17.0,41.0,42.0,87.0,50.0,90.0,88.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
213,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die spezifischen Gruppen- oder Einzelunterricht Schwimmen erhalten",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
214,Operative Ziele,"Kosten und Erlöse: Erhöhung aufgrund der Platzzahlerhöhung. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit Anzahl austretende Jugendliche, die eine oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügenberufliche Tätigkeit ausüben Für eine grösstmögliche Selbständigkeit und Teilhabe an der Gesellschaft erhalten einzelne Schüler:innen (SuS) zum Schulunterricht ergänzende schulische Förderung: ","Anteil der SuS, die spezifischen Gruppen- oder Einzelunterricht Kochen erhalten",,48.0,49.0,99.0,100.0,100.0,100.0,100.0,80.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
215,Operative Ziele,SuS mit Autismusspektrumsstörung benötigen gezielte Unterstützung,"Anteil der SuS, die eine diagnostizierte Autismusspektrumsstörung (ASS) aufweisen",,24.0,25.0,32.0,33.0,29.0,30.0,39.0,43.0,,,,,0.0,0.0,0
216,Operative Ziele,SuS mit Autismusspektrumsstörung benötigen gezielte Unterstützung,"Anteil der SuS mit ASS, die eine gezielte schulische Förderung (ASS spezifischer Einzelunterricht, Förderklasse, Sozialkompetenztraining etc.) erhalten",,17.0,19.0,28.0,29.0,29.0,29.0,39.0,43.0,,,,,0.0,0.0,0
217,Operative Ziele,Angebotene Plätze (Total),Angebotene Plätze (Total),,153.0,153.0,153.0,97.0,105.0,108.0,118.0,125.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
218,Operative Ziele,Belegte Plätze (Winterthurer Schüler:innen),Belegte Plätze (Winterthurer Schüler:innen),,120.0,121.0,127.0,73.0,80.0,83.0,85.0,89.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
219,Operative Ziele,Belegte Plätze (insgesamt),Belegte Plätze (insgesamt),,145.0,145.0,150.0,96.0,107.0,115.0,118.0,125.0,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
220,Leistungsmengen,Vgl. Parlamentarische Zielvorgaben,Vgl. Parlamentarische Zielvorgaben,,,,,,,,,,,,Sonderschulung (530),Produkt 1 HPS (Michaelschule),0.0,0.0,0
221,Nettokosten,Nettokosten,Nettokosten,,14630699.0,14803607.0,15111006.0,12566960.0,12475687.0,13025202.0,13593838.0,13398450.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
222,Nettokosten,Erlös,Erlös,,14013776.0,14802856.0,15218092.0,12112685.0,12174077.0,13025202.0,13593838.0,13398450.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
223,Nettokosten,Nettokosten,Nettokosten,,616923.0,751.0,-107086.0,454274.0,301610.0,13025202.0,13593838.0,13398450.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
224,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,,96.0,100.0,101.0,96.0,98.0,100.0,100.0,100.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
225,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können.","Anteil (in %) der Kinder und Jugendlichen, die ihren Schulweg selbstständig bewältigen können",,1.0,2.0,21.0,5.0,5.0,7.0,6.0,5.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
226,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können.","Anteil (in %) der Kinder und Jugendlichen, die sich im Schulhaus selbstständig bewegen, bzw. orientieren können",,30.0,30.0,42.0,33.0,30.0,25.0,27.0,30.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
227,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können.",Angebotene Plätze (Total),,131.0,131.0,133.0,90.0,90.0,91.0,91.0,94.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
228,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können.",Belegte Plätze (Winterthurer Schüler:innen),,96.0,94.0,96.0,58.0,62.0,62.0,61.0,65.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
229,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden. Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen. Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Kinder und Jugendlichen ihren Schulweg selbstständig bewältigen oder sich im Schulhaus selbstständig bewegen können.",Belegte Plätze (insgesamt),,124.0,124.0,126.0,89.0,92.0,90.0,91.0,94.0,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
230,Leistungsmengen,Vgl. Parlamentarische Zielvorgaben,Vgl. Parlamentarische Zielvorgaben,,,,,,,,,,,,Sonderschulung (530),Produkt 2 CPS (Maurerschule),0.0,0.0,0
231,Nettokosten,Nettokosten,Nettokosten,,2580936.0,2977407.0,3292553.0,3216615.0,3315156.0,3579389.0,3800027.0,4586449.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
232,Nettokosten,Erlös,Erlös,,2737810.0,3029320.0,3644981.0,2890631.0,3103047.0,3579389.0,3800027.0,4586449.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
233,Nettokosten,Nettokosten,Nettokosten,,-156874.0,-51913.0,-352428.0,325984.0,212108.0,0.0,0.0,0.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
234,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,,106.0,102.0,111.0,90.0,94.0,100.0,100.0,100.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
235,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen und pädagogischen Möglichkeiten aus, damit die Jugendlichen mit individualisierten Lernzielen eine angemessene Anschlusslösung finden.","Anzahl austretende Jugendliche, die eine berufliche Tätigkeit ausüben oder über eine ausserfamiliäre Tagesstruktur (Institution) verfügen.",,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
236,Operative Ziele,"Die Sonderschulen und Eltern schöpfen die organisatorischen, pädagogischen sowie interdisziplinären Möglichkeiten aus, damit die Teilnahme der Kinder und Jugendlichen am Schulprogramm bestmöglich sichergestellt wird.","Anteil (in %) der Kinder und Jugendlichen, die über 90% Anwesenheitstage aufweisen",,90.0,90.0,100.0,100.0,100.0,90.0,90.0,90.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
237,Operative Ziele,Angebotene Plätze (Total),Angebotene Plätze (Total),,30.0,31.0,42.0,42.0,42.0,42.0,44.0,56.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
238,Operative Ziele,Belegte Plätze (Winterthurer Schüler:innen),Belegte Plätze (Winterthurer Schüler:innen),,21.0,23.0,35.0,34.0,32.0,33.0,34.0,45.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
239,Operative Ziele,Belegte Plätze (insgesamt),Belegte Plätze (insgesamt),,28.0,29.0,39.0,40.0,41.0,41.0,44.0,56.0,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
240,Leistungsmengen,Vgl. Parlamentarische Zielvorgaben,Vgl. Parlamentarische Zielvorgaben,,,,,,,,,,,,Sonderschulung (530),Produkt 3 KGS (Kleingruppenschule),0.0,0.0,0
241,Nettokosten,Nettokosten,Nettokosten,,33463462.0,33209186.0,38432722.0,43342741.0,46281774.0,52936518.0,49916019.0,55525946.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
242,Nettokosten,Erlös,Erlös,,260717.0,226916.0,472340.0,1809601.0,2041104.0,2614982.0,1802272.0,2834142.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
243,Nettokosten,Nettokosten,Nettokosten,,33202745.0,32982270.0,37960383.0,41533141.0,44240670.0,50321537.0,48113747.0,52691805.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
244,Nettokosten,Kostendeckungsgrad in %,Kostendeckungsgrad in %,,1.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
245,Operative Ziele,Sonderschulquote,Sonderschulquote,,,,,,6.96,7.3,7.0,7.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
246,Operative Ziele,Kosten separative Sonderschulmassnahmen,Kosten separative Sonderschulmassnahmen,,,,25531717.0,24188323.0,24744176.0,27645080.0,27156521.0,27767884.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
247,Operative Ziele,Kosten integrative Sonderschulmassnahmen,Kosten integrative Sonderschulmassnahmen,,,,,,19496494.0,22676457.0,20882181.0,24923921.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
248,Operative Ziele,Belegte Plätze (insgesamt),Belegte Plätze (insgesamt),,,,770.0,831.0,885.0,943.0,911.0,932.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
249,Operative Ziele,davon integrierte Sonderschulung,davon integrierte Sonderschulung,,,,427.0,471.0,509.0,540.0,521.0,535.0,,,Sonderschulung (530),Produkt 4 Finanzierung Sonderschulung,0.0,0.0,0
